10th Marks,12th Marks,Skills,Career
99,79,"Patient Care, Anatomy, Medical Research",Doctor
71,98,"Branding, Illustrator, Creativity, Typography",Graphic Designer
85,95,"Court Procedures, Documentation, Teamwork",Lawyer
62,91,"Advertising, Analytics, Community Management",Social Media Manager
95,86,"Legal Research, Argumentation, Court Procedures, Problem Solving, Client Counseling",Lawyer
62,70,"Patient Care, Medical Research, Anatomy, Chemistry, Problem Solving",Doctor
87,99,"Surveying, Construction Management",Civil Engineer
92,87,"Branding, Creativity, Photoshop, Illustrator",Graphic Designer
73,91,"SQL, Requirement Gathering, Documentation, Problem Solving",Business Analyst
72,73,"SEO Writing, Content Strategy",Content Writer
84,91,"Aptitude, Reasoning, Administration, Problem Solving",Government Employee
62,83,"Creativity, Photoshop",Graphic Designer
96,91,"Typography, Critical Thinking, Creativity, Branding, Photoshop",Graphic Designer
70,70,"CAD, Materials Science, Manufacturing",Mechanical Engineer
90,76,"Requirement Gathering, Communication",Business Analyst
78,74,"Editing, Content Strategy, Proofreading, Creative Writing, Problem Solving",Content Writer
87,63,"Content Strategy, SEO Writing, Editing",Content Writer
86,96,"Analytics, Advertising",Social Media Manager
100,60,"Client Counseling, Communication, Documentation",Lawyer
91,81,"Problem Solving, Advertising, Content Planning, Community Management, Analytics",Social Media Manager
62,95,"Negotiation, Communication, Management, Finance Knowledge",Business Professional
83,77,"Typography, Branding",Graphic Designer
87,68,"Big Data, Statistics",Data Scientist
72,60,"Aptitude, Law Knowledge, Reasoning",Government Employee
86,84,"Pitching, Teamwork, Fundraising, Startup Strategy, Innovation",Entrepreneur
96,72,"Analytics, Critical Thinking, SEO, Content Marketing",Digital Marketer
82,62,"Proofreading, SEO Writing, Editing, Creative Writing",Content Writer
82,93,"Client Counseling, Documentation, Argumentation",Lawyer
90,99,"Content Strategy, Teamwork, Editing, SEO Writing",Content Writer
91,71,"Experimentation, Scientific Writing",Research Scientist
96,95,"Accounting, Financial Modeling, Valuation, Excel",Financial Analyst
78,100,"Creativity, Aptitude, General Awareness, Administration",Government Employee
82,66,"Creativity, Photoshop, Problem Solving, Branding, Typography",Graphic Designer
94,86,"Teamwork, Content Strategy, Editing, SEO Writing",Content Writer
61,85,"Manufacturing, Critical Thinking, Materials Science, CAD",Mechanical Engineer
64,95,"Therapy Techniques, Clinical Knowledge, Patient Care",Psychologist
94,61,"Analytics, Communication, Community Management, Advertising",Social Media Manager
76,93,"Data Analysis, Requirement Gathering, Communication",Business Analyst
77,86,"Requirement Gathering, Data Analysis, Documentation",Business Analyst
100,82,"Data Analysis, Documentation, Communication",Business Analyst
68,67,"Proofreading, Content Strategy, Editing, Teamwork",Content Writer
89,72,"Algorithms, Creativity, Programming",Software Developer
99,88,"Valuation, Investment Analysis, Accounting, Excel",Financial Analyst
99,79,"Surveying, Communication, Structural Analysis",Civil Engineer
85,93,"Medical Research, Chemistry, Anatomy, Biology",Doctor
86,75,"Patient Care, Clinical Knowledge, Therapy Techniques",Psychologist
62,81,"User Research, Prototyping",Product Designer
85,71,"Business Development, Creativity, Startup Strategy",Entrepreneur
92,67,"General Awareness, Critical Thinking, Reasoning",Government Employee
82,89,"General Awareness, Critical Thinking, Law Knowledge, Administration",Government Employee
80,70,"Photoshop, Creativity, Critical Thinking, Typography, Illustrator",Graphic Designer
89,67,"UI/UX Design, Adobe XD, Prototyping",Product Designer
82,63,"Problem Solving, User Research, UI/UX Design, Adobe XD, Prototyping",Product Designer
94,77,"Valuation, Financial Modeling, Excel, Accounting",Financial Analyst
78,80,"Building Codes, Creativity, Project Management",Architect
74,73,"Statistics, Machine Learning, Big Data",Data Scientist
77,68,"Machine Learning, Python",Data Scientist
93,64,"Client Counseling, Documentation, Court Procedures",Lawyer
61,96,"Creative Writing, Content Strategy, Editing",Content Writer
97,87,"Excel, Valuation, Investment Analysis, Communication, Accounting",Financial Analyst
71,70,"SEO Writing, Creativity, Creative Writing",Content Writer
89,69,"Typography, Photoshop, Illustrator, Branding",Graphic Designer
82,79,"Creative Writing, Problem Solving, Content Strategy, Proofreading",Content Writer
98,86,"Fundraising, Creativity, Startup Strategy, Pitching, Business Development",Entrepreneur
60,93,"Data Analysis, Critical Thinking, Experimentation, Laboratory Skills, Communication",Research Scientist
77,94,"General Awareness, Administration, Reasoning",Government Employee
72,86,"Communication, Business Development, Fundraising",Entrepreneur
78,74,"Therapy Techniques, Research Methods, Counseling, Clinical Knowledge",Psychologist
82,66,"Communication, Adobe XD, UI/UX Design",Product Designer
89,82,"Medical Research, Patient Care",Doctor
85,74,"Creative Writing, SEO Writing, Content Strategy",Content Writer
76,79,"Accounting, Valuation, Financial Modeling, Communication",Financial Analyst
95,78,"Creativity, Content Planning, Advertising, Analytics",Social Media Manager
73,73,"Administration, Reasoning, Law Knowledge, Communication",Government Employee
60,73,"Management, Negotiation, Strategy",Business Professional
71,75,"Documentation, Argumentation",Lawyer
84,98,"Illustrator, Photoshop, Critical Thinking, Creativity, Typography",Graphic Designer
84,92,"Subject Knowledge, Creativity, Communication",Teacher
86,64,"Communication, Critical Thinking, Subject Knowledge, Assessment, Classroom Management",Teacher
82,95,"Email Marketing, Problem Solving, Google Ads, Analytics",Digital Marketer
85,82,"Construction Management, Structural Analysis, Critical Thinking",Civil Engineer
75,83,"Negotiation, Management, Critical Thinking, Strategy, Finance Knowledge",Business Professional
81,73,"Leadership, Finance Knowledge, Communication",Business Professional
91,97,"Requirement Gathering, Communication, Documentation, SQL",Business Analyst
76,94,"Structural Design, Project Management",Architect
90,66,"Critical Thinking, Anatomy, Biology, Patient Care, Chemistry",Doctor
77,92,"Creativity, Laboratory Skills, Scientific Writing, Critical Thinking",Research Scientist
86,74,"Advertising, Creativity, Social Media Strategy, Community Management",Social Media Manager
79,75,"Problem Solving, Data Analysis, Communication, Requirement Gathering",Business Analyst
96,90,"Documentation, SQL, Data Analysis",Business Analyst
90,94,"Communication, CAD, Materials Science, Manufacturing, Machine Design",Mechanical Engineer
71,75,"Business Development, Creativity, Fundraising",Entrepreneur
75,96,"Creativity, Data Analysis, Critical Thinking, Laboratory Skills",Research Scientist
95,66,"Experimentation, Data Analysis, Scientific Writing",Research Scientist
98,85,"Leadership, Communication, Strategy, Negotiation",Business Professional
70,90,"Scientific Writing, Critical Thinking, Data Analysis",Research Scientist
79,82,"Fundraising, Pitching, Startup Strategy, Business Development",Entrepreneur
89,78,"Scientific Writing, Critical Thinking",Research Scientist
96,78,"SQL, Documentation, Creativity, Data Analysis",Business Analyst
92,66,"Patient Care, Counseling",Psychologist
94,81,"Investment Analysis, Valuation, Problem Solving",Financial Analyst
70,62,"SEO Writing, Content Strategy",Content Writer
84,94,"Client Counseling, Court Procedures, Argumentation",Lawyer
95,70,"Creativity, Documentation, SQL, Communication",Business Analyst
91,60,"Analytics, Advertising",Social Media Manager
80,85,"Business Development, Startup Strategy, Fundraising",Entrepreneur
81,88,"Critical Thinking, User Research, Adobe XD",Product Designer
72,61,"Typography, Branding",Graphic Designer
97,64,"Lesson Planning, Assessment, Communication, Critical Thinking",Teacher
77,70,"Geotechnical Engineering, Problem Solving, Structural Analysis",Civil Engineer
87,100,"Problem Solving, Subject Knowledge, Lesson Planning",Teacher
63,70,"Python, Big Data, Machine Learning, Data Visualization",Data Scientist
74,73,"Argumentation, Creativity, Legal Research",Lawyer
66,64,"Problem Solving, System Design, Programming, DSA",Software Developer
94,75,"Structural Design, Design Principles",Architect
67,77,"Data Visualization, Python, Big Data",Data Scientist
88,83,"Teamwork, System Design, Programming, Debugging, Algorithms",Software Developer
78,80,"Typography, Creativity, Illustrator, Photoshop",Graphic Designer
77,76,"Critical Thinking, Python, Data Visualization",Data Scientist
76,82,"Advertising, Critical Thinking, Social Media Strategy, Community Management",Social Media Manager
88,77,"Problem Solving, Strategy, Finance Knowledge, Leadership, Negotiation",Business Professional
94,100,"Experimentation, Scientific Writing, Data Analysis",Research Scientist
86,88,"Building Codes, Design Principles, Communication, AutoCAD, Project Management",Architect
67,62,"Anatomy, Chemistry, Biology, Critical Thinking",Doctor
95,78,"Investment Analysis, Accounting, Valuation, Financial Modeling",Financial Analyst
63,77,"Management, Strategy, Negotiation, Leadership",Business Professional
86,99,"Surveying, AutoCAD",Civil Engineer
69,92,"Creativity, AutoCAD, Geotechnical Engineering, Surveying",Civil Engineer
78,98,"Excel, Critical Thinking, Financial Modeling, Investment Analysis",Financial Analyst
75,64,"Teamwork, Administration, Reasoning",Government Employee
62,62,"Analytics, Email Marketing, SEO",Digital Marketer
87,67,"Critical Thinking, Analytics, SEO",Digital Marketer
95,78,"Photoshop, Creativity, Illustrator",Graphic Designer
74,80,"AutoCAD, Structural Analysis, Surveying",Civil Engineer
67,82,"Python, Data Visualization, Critical Thinking, Machine Learning",Data Scientist
64,97,"Data Analysis, Requirement Gathering, Communication",Business Analyst
70,79,"Data Analysis, SQL, Documentation",Business Analyst
80,98,"AutoCAD, Structural Design, Design Principles, Project Management",Architect
97,62,"Anatomy, Medical Research, Patient Care",Doctor
80,98,"Therapy Techniques, Counseling, Clinical Knowledge, Patient Care",Psychologist
78,82,"Communication, Creativity, Typography",Graphic Designer
63,77,"Illustrator, Creativity, Typography, Branding, Photoshop",Graphic Designer
82,80,"Laboratory Skills, Critical Thinking",Research Scientist
84,97,"Investment Analysis, Excel, Accounting",Financial Analyst
64,68,"Documentation, Data Analysis",Business Analyst
74,100,"SQL, Communication",Business Analyst
90,83,"Illustrator, Photoshop, Creativity",Graphic Designer
84,98,"Financial Modeling, Accounting, Valuation, Excel, Teamwork",Financial Analyst
73,80,"SEO Writing, Editing, Proofreading, Content Strategy",Content Writer
71,84,"DSA, System Design, Programming, Critical Thinking",Software Developer
60,77,"Machine Design, Thermodynamics",Mechanical Engineer
81,92,"Subject Knowledge, Lesson Planning, Classroom Management, Creativity, Assessment",Teacher
80,81,"Creativity, Research Methods, Clinical Knowledge",Psychologist
62,93,"Communication, Editing, SEO Writing",Content Writer
86,74,"Problem Solving, Documentation, Legal Research",Lawyer
98,92,"Patient Care, Clinical Knowledge",Psychologist
67,91,"Negotiation, Strategy, Finance Knowledge",Business Professional
94,72,"Communication, Design Principles, Project Management, Structural Design",Architect
96,67,"DSA, Programming, System Design, Debugging",Software Developer
73,77,"Legal Research, Communication, Argumentation, Documentation",Lawyer
95,93,"Subject Knowledge, Classroom Management, Lesson Planning",Teacher
82,70,"Documentation, Argumentation, Client Counseling",Lawyer
99,78,"Leadership, Negotiation, Finance Knowledge, Teamwork",Business Professional
80,89,"Classroom Management, Assessment, Lesson Planning",Teacher
73,67,"Legal Research, Client Counseling, Argumentation, Creativity",Lawyer
88,97,"Data Analysis, Laboratory Skills, Critical Thinking",Research Scientist
91,86,"Critical Thinking, Data Analysis",Research Scientist
93,69,"Critical Thinking, Construction Management, Surveying, Geotechnical Engineering, Structural Analysis",Civil Engineer
69,95,"Fundraising, Innovation, Business Development",Entrepreneur
98,66,"SEO, Google Ads, Content Marketing",Digital Marketer
90,66,"Manufacturing, Machine Design, Materials Science, CAD",Mechanical Engineer
88,88,"Programming, Critical Thinking, Debugging",Software Developer
88,65,"Surveying, Construction Management, Structural Analysis, AutoCAD, Creativity",Civil Engineer
89,86,"Creativity, Materials Science, Thermodynamics",Mechanical Engineer
83,83,"Investment Analysis, Problem Solving, Financial Modeling, Accounting",Financial Analyst
80,98,"Startup Strategy, Pitching, Creativity",Entrepreneur
73,100,"Documentation, Communication, Legal Research, Client Counseling, Court Procedures",Lawyer
84,84,"AutoCAD, Problem Solving, Design Principles",Architect
76,76,"Finance Knowledge, Strategy",Business Professional
77,65,"Therapy Techniques, Counseling, Clinical Knowledge, Patient Care",Psychologist
96,67,"Machine Design, CAD, Manufacturing",Mechanical Engineer
68,66,"Branding, Typography, Creativity",Graphic Designer
69,63,"Administration, Aptitude",Government Employee
98,64,"Requirement Gathering, Communication",Business Analyst
63,84,"Pitching, Fundraising, Startup Strategy, Business Development, Creativity",Entrepreneur
98,76,"Critical Thinking, DSA, Debugging",Software Developer
74,73,"CAD, Critical Thinking, Machine Design, Manufacturing",Mechanical Engineer
61,88,"Email Marketing, Content Marketing",Digital Marketer
88,97,"Data Visualization, Python",Data Scientist
80,74,"Business Development, Startup Strategy, Fundraising, Innovation, Communication",Entrepreneur
82,97,"Photoshop, Illustrator",Graphic Designer
99,68,"Critical Thinking, Laboratory Skills, Experimentation",Research Scientist
81,95,"Creativity, Therapy Techniques, Clinical Knowledge",Psychologist
65,87,"Aptitude, Law Knowledge, Administration, Reasoning, Creativity",Government Employee
71,98,"Email Marketing, SEO, Communication, Analytics",Digital Marketer
72,90,"Manufacturing, Materials Science",Mechanical Engineer
65,81,"Leadership, Management, Problem Solving, Strategy, Finance Knowledge",Business Professional
66,78,"Machine Design, Thermodynamics, Problem Solving, CAD",Mechanical Engineer
98,70,"Machine Design, Thermodynamics, CAD",Mechanical Engineer
97,76,"Content Planning, Social Media Strategy, Problem Solving",Social Media Manager
93,85,"Data Analysis, Laboratory Skills, Scientific Writing",Research Scientist
78,78,"Creativity, Illustrator, Branding, Typography",Graphic Designer
97,95,"Machine Design, Manufacturing, Thermodynamics, CAD",Mechanical Engineer
90,67,"Experimentation, Creativity, Data Analysis, Laboratory Skills, Critical Thinking",Research Scientist
85,79,"User Research, Wireframing, Prototyping",Product Designer
85,90,"Critical Thinking, Laboratory Skills, Experimentation, Creativity, Data Analysis",Research Scientist
82,65,"Surveying, Structural Analysis, Construction Management, AutoCAD",Civil Engineer
